"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs10172421",0.00373123815964262,0.0337526429702581,0.911975936242939
"53","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4570163",0.0142025058926011,0.0342347785088405,0.678247265730517
"54","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4589952",0.00936086035485094,0.0342408034476841,0.78455866694335
"55","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4762896",0.0104427935481475,0.034169054261014,0.759892939310631
"56","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4792196",0.0139737055737359,0.0340558399893443,0.681573089757738
"57","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4810682",0.0119809596000317,0.0341181181952218,0.725467410728453
"58","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs4842283",0.0034642154041256,0.0336952206077305,0.918113538262706
"59","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6073597",0.0170486471051436,0.0337528272964114,0.613486644642605
"60","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6089930",0.0122569204315655,0.0342274210915186,0.720266709451024
"61","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6587766",0.0116329260473341,0.0343623969033011,0.734958915792183
"62","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6598440",0.00898324978725398,0.0340638331917851,0.79199713786514
"63","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6704609",0.0139367556474967,0.0340786120711025,0.682569738326485
"64","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6772840",0.00981346136862407,0.0342173958157314,0.774267426687902
"65","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs6813656",0.00857280366434552,0.0342036387200462,0.802092370433176
"66","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7072297",0.00803712405527942,0.0342244806157401,0.814336389548427
"67","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7149000",0.0101916342592659,0.0342304993696239,0.765905059479147
"68","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7445606",0.0128870815809356,0.034164807123965,0.70602244999813
"69","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7487682",0.0132061796261406,0.034143519689224,0.698915852060943
"70","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7584895",0.00666343704825415,0.0339317588336371,0.844314634787183
"71","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7939430",0.0128423307756635,0.0341950783291152,0.707243442153726
"72","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs7952069",0.0119533258011655,0.0342568355039748,0.727139929506465
"73","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs8073904",0.0119277076092247,0.0342054617345216,0.727308769084159
"74","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs8180800",0.0131264051148394,0.0341491832194855,0.700693738775559
"75","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs903834",0.0134374522296912,0.0341617322529629,0.694062401997348
"76","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs905456",0.0153194891478046,0.0339308285402694,0.651635169917224
"77","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9291932",0.00942574883004964,0.034181650860421,0.782736525280407
"78","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs929814",0.0160780620329855,0.0337865757698548,0.63416606362482
"79","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9528554",0.013144288534818,0.0341895053730897,0.700642060917763
"80","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs976337",0.0144082601943775,0.0340847669441435,0.672500685436054
"81","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9840016",0.016466630769645,0.0338113911915758,0.626248202213035
"82","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"rs9956636",0.0159982875216843,0.0338005546211201,0.635988926136464
"83","Subjective well being || id:1009","Body mass index || id:2","1009","2",338294,"All",0.0111756917595958,0.0338301273450217,0.741137544918971
"84","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs10172421",-0.0119172163465479,0.0426024542806285,0.779684087204408
"85","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs1028144",-0.0312599146628397,0.0448355729350301,0.485669918286989
"86","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs1075737",-0.0236920700400274,0.0441495990317082,0.591522110761891
"87","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs10769190",-0.03512567398648,0.0451848144905412,0.436935876119402
"88","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs10895581",-0.032741791413344,0.0448184979115996,0.465059000316583
"89","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs10923025",-0.0331848385133474,0.0448360612685421,0.459216725978395
"90","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11073619",-0.0383128468065271,0.0443960676941745,0.38814935118906
"91","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11612312",-0.0346606057514276,0.0448847650591927,0.439988195176448
"92","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11644362",-0.021905003061646,0.044524291245754,0.622734399071856
"93","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11668122",-0.0325996404192441,0.044664691753122,0.465466615115315
"94","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11691770",-0.03355840609283,0.0448788743598116,0.454607903981374
"95","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs11751387",-0.0290890442242255,0.0447314317169645,0.515495653602946
"96","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12062152",-0.0268194499416346,0.0445795777081804,0.547434813354024
"97","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12143280",-0.0374933934709862,0.0439824288546735,0.393957163680464
"98","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12147610",-0.0318229097006436,0.0446782203060679,0.476298238731003
"99","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12152057",-0.0283198527725836,0.044584718478072,0.525303254724082
"100","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12298541",-0.0358703291107901,0.0446587668685258,0.421853871552602
"101","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12460988",-0.0284266292810882,0.0447253674441656,0.525049038940746
"102","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs12474324",-0.0427132182518214,0.0435466825343545,0.326661567527168
"103","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs13235506",-0.0364298986028966,0.044731281892904,0.415406330941397
"104","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs13387164",-0.0311728155994664,0.0448686872819149,0.487207865009645
"105","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs1361360",-0.0278416534539722,0.0449832194350907,0.535959699615195
"106","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs1462450",-0.0283911920048376,0.0445365507930899,0.523811771204952
"107","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs1556477",-0.0313661795323081,0.0448674827660109,0.484498976966636
"108","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs17005492",-0.0353976225772779,0.0447352546729263,0.428787003677251
"109","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs17331012",-0.0308855444075218,0.0449060411895995,0.491590387272696
"110","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs17693963",-0.0207759880395554,0.043670883475294,0.634259588530273
"111","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2017279",-0.0335917069456829,0.0448543336849186,0.453913496529865
"112","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2058382",-0.0310614404062007,0.0449079908942546,0.489145565232799
"113","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2075677",-0.0426475075698596,0.0442148487533131,0.334769401010461
"114","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs210896",-0.0242499220761539,0.0442283236729408,0.583493188688317
"115","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2127737",-0.0324706122314933,0.0448456828870516,0.469033731448601
"116","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2212682",-0.0259106830155799,0.0443069310588056,0.558682360203531
"117","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2321300",-0.0334991926968877,0.0447441230912159,0.45404790988963
"118","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2409722",-0.0356013317537498,0.0449341622701203,0.428185836731912
"119","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs258677",-0.0343843827151532,0.0449753854044362,0.444560057660642
"120","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2597455",-0.035443620203355,0.0447007579911015,0.427831014285717
"121","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs281288",-0.0289869644274195,0.0448659310521444,0.518227782424526
"122","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2819873",-0.0363980773565531,0.0450624837936578,0.419249130453528
"123","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs2911244",-0.0319929917604963,0.0448391179872744,0.475532535545076
"124","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs3104708",-0.0412013125529855,0.043831650644944,0.347222698749252
"125","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs35238",-0.0321445480272931,0.0449271433006378,0.474311456249026
"126","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs3756290",-0.0271583555839893,0.0445958004089719,0.542531675261535
"127","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs4570163",-0.0261918125996521,0.0449113495440879,0.559765961903465
"128","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs4589952",-0.0263700504322547,0.0445991926088535,0.554341242242751
"129","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs4810682",-0.0309450167173137,0.0446908112889432,0.488670727368586
"130","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs4842283",-0.0265669611159602,0.0447697301839477,0.552904473799134
"131","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs6073597",-0.0350060205782972,0.0447568390670222,0.43413352928415
"132","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs6089930",-0.0325667534829272,0.0448502296131431,0.467763777531569
"133","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs6587766",-0.0344301307304577,0.0450121157921885,0.444326286631267
"134","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs6598440",-0.0298017467092625,0.0446724393092626,0.504697359017307
"135","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs6813656",-0.0374592866784584,0.0446170155509149,0.401147276344193
"136","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7072297",-0.0345580739931169,0.0450816486644051,0.443339400326704
"137","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7149000",-0.0310511555364312,0.0448756046634475,0.488975994051777
"138","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7445606",-0.0378576085417492,0.0443174138504545,0.39297326255024
"139","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7487682",-0.0458716723385798,0.0418080934763975,0.272555727546218
"140","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7584895",-0.0303231133141333,0.0448422408727105,0.498902488312386
"141","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7939430",-0.0310656305188654,0.0448497431274888,0.488522842884116
"142","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs7952069",-0.0395217376285626,0.0442085407175882,0.371330336148657
"143","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs8073904",-0.0289166593223516,0.0445890447987816,0.516651985713813
"144","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs8180800",-0.0367310796033309,0.0444687386520685,0.408805348619044
"145","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs903834",-0.0312565585124272,0.0448604662587977,0.485958862214266
"146","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs905456",-0.036960807429791,0.0445301184081922,0.406528510124258
"147","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs9291932",-0.025508720067877,0.0443190063415118,0.564905412165234
"148","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs929814",-0.0254811193137938,0.0442370434832116,0.564606284859182
"149","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs9528554",-0.0303636127232668,0.0448324347005148,0.498235373607234
"150","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs976337",-0.035064323396746,0.0447341577923722,0.433135296406497
"151","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs9840016",-0.0333390063655108,0.0448452462817885,0.457225369412528
"152","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"rs9956636",-0.0221412873528375,0.043433107093606,0.610206276109947
"153","Subjective well being || id:1009","HDL cholesterol || id:299","1009","299",187127.12,"All",-0.0317974735411446,0.0442459739892322,0.472355144541858
"154","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs10172421",0.043697105703103,0.0478610920953422,0.361243325920843
"155","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs1028144",0.0315138074579444,0.0480136647284288,0.511598436144194
"156","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs1075737",0.0347578446037413,0.0481431371091282,0.470313638562308
"157","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs10769190",0.0329286894511792,0.0485396117391439,0.497525724471522
"158","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs10895581",0.0387431565196748,0.047720305683687,0.416860554846749
"159","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs10923025",0.0238112865777822,0.0469207546249311,0.611818932782387
"160","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11073619",0.0434234821428566,0.0470943630208882,0.356501114408679
"161","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11612312",0.0273731880517031,0.0478420087208349,0.56721493814975
"162","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11644362",0.0258038452894361,0.0480610104660934,0.591338289733006
"163","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11668122",0.0332733405092118,0.0479056138794355,0.487330860341069
"164","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11691770",0.0329791937902422,0.0481548264269562,0.493433850227579
"165","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs11751387",0.0350180217344154,0.048051512370339,0.466148463429169
"166","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12062152",0.0326015335085744,0.0481087187752599,0.497984932240418
"167","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12143280",0.029768474882677,0.0475807291276832,0.531550165216827
"168","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12147610",0.0388790468695729,0.0469463677973697,0.407580582099439
"169","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12152057",0.0330424508780647,0.0480219994587521,0.491409308278414
"170","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12298541",0.0416003542326985,0.0473518948518062,0.379652796243053
"171","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12460988",0.0339728996468648,0.0481167475916461,0.480156139237575
"172","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs12474324",0.034186805735337,0.0481581722284126,0.477774916687212
"173","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs13235506",0.0507363923586501,0.0453876729054089,0.263633112507891
"174","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs13387164",0.032371735761561,0.0481006579625791,0.500947384130704
"175","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs1361360",0.0390172548386696,0.0481709148283808,0.417954328367522
"176","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs1462450",0.0378488652787941,0.0476577932710823,0.427090661958548
"177","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs1556477",0.0376580640347758,0.04790771328298,0.43183567602614
"178","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs17005492",0.0388008155171923,0.0478440949379343,0.417374618765549
"179","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs17331012",0.0369662735979182,0.0480431717039971,0.441632946383259
"180","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs17693963",0.0357234028075343,0.0481289783328974,0.457940050265093
"181","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2017279",0.0357775521207913,0.0480839086480873,0.456837169539194
"182","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2058382",0.0438443860069296,0.0470344595597927,0.351245668383969
"183","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2075677",0.0393315655405257,0.0481215380296922,0.413735250232889
"184","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs210896",0.0375164229085305,0.0479781257903051,0.434244847483938
"185","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2127737",0.0365069891945313,0.047986561270153,0.446791306703825
"186","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2212682",0.036331713506391,0.047958842921946,0.448714278305179
"187","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2321300",0.0380118622089303,0.0477396402606022,0.425896799953509
"188","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2409722",0.0265045111069642,0.0479865438500464,0.580720805004985
"189","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs258677",0.0295559610928741,0.0481655641611698,0.539458126110112
"190","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2597455",0.0316481744053001,0.0480592865345117,0.510201737085759
"191","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs281288",0.0312171151978913,0.0481485085453554,0.516758203021393
"192","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2819873",0.0277411132775755,0.0482953370920943,0.565693347508135
"193","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs2911244",0.0367651080124543,0.0479390419953897,0.443132828367155
"194","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs3104708",0.0429365620354679,0.047143454903019,0.362419729222668
"195","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs35238",0.0341547140791524,0.048175926263753,0.478350466747858
"196","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs3756290",0.0285178038491813,0.0477838474230797,0.550635276609254
"197","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs4570163",0.0420758380288073,0.0479977459224733,0.380692461069374
"198","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs4589952",0.0305115854738033,0.0480704936174667,0.525607223721389
"199","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs4810682",0.0344267307103561,0.0479008141986005,0.47232043704
"200","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs4842283",0.0219812756117775,0.0471345751870777,0.640963985410848
"201","Subjective well being || id:1009","LDL cholesterol || id:300","1009","300",173046.02,"rs6073597",0.0292674709926,0.0478965437218209,0.541162499638622
