"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1000423",0.557256428657122,0.0904906320824192,7.35917087893239e-10
"20","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11641308",0.559684682693578,0.090783913182008,7.04740251204973e-10
"21","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs116734066",0.573800075555678,0.0906721688367583,2.47887679810606e-10
"22","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11874",0.559149439188807,0.0907112216310133,7.09029264337142e-10
"23","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs11874246",0.562244136310485,0.0909410117345902,6.30884586887397e-10
"24","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs12258967",0.562514729273187,0.0914399896068171,7.66390936095259e-10
"25","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1229984",0.565194428745863,0.0914584725442636,6.41857036518614e-10
"26","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1250259",0.559424763581856,0.0907560825297372,7.09088548340854e-10
"27","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs12656497",0.571149210102133,0.0917566055271168,4.82751125296657e-10
"28","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs12694861",0.571808395426335,0.0906689048824196,2.85315433833335e-10
"29","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs12714414",0.558855343987736,0.0905802351269101,6.84078974713365e-10
"30","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs12967060",0.569245748361199,0.0909198667338242,3.82611982049082e-10
"31","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs13016772",0.564922884097457,0.0909768183470339,5.31447860176331e-10
"32","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs13154549",0.566151331972485,0.09103363903451,4.9987362569953e-10
"33","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs13436194",0.562224772608062,0.0910578155797478,6.64272221874278e-10
"34","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs137923903",0.566254161599888,0.0909583543038674,4.80260814987581e-10
"35","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs138110118",0.57069176071642,0.0906592979444576,3.07586149381463e-10
"36","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1436138",0.566517098870142,0.091013268902763,4.82924688117313e-10
"37","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1438898",0.574401383820782,0.0903318950458702,2.0335163002053e-10
"38","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs144356415",0.578800384081547,0.0898997919181449,1.20831826133535e-10
"39","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1530558",0.570000890822892,0.0908702147228801,3.54857896271272e-10
"40","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1543270",0.576938900673542,0.0902818179042267,1.65428748417694e-10
"41","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs158172",0.562349495147356,0.0909049546833086,6.16607658246576e-10
"42","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1644318",0.567926753486155,0.0911246588032418,4.59296736609101e-10
"43","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs167479",0.566477637726287,0.0911373448144824,5.11133323327771e-10
"44","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17011002",0.568148362131683,0.0911938267822111,4.66082009066284e-10
"45","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17056301",0.56543865155765,0.0910824945357183,5.36686778960235e-10
"46","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17173238",0.56476967785343,0.0909317949556028,5.26768580170991e-10
"47","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17535443",0.556373247512514,0.0906274177134123,8.297609381965e-10
"48","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17677603",0.559655169414765,0.0908557560933875,7.28273421817801e-10
"49","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs17759661",0.563805131304256,0.0910707107153383,5.98405439516619e-10
"50","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1779240",0.563918308401882,0.0910306663939297,5.83528333142043e-10
"51","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1813742",0.563579142181083,0.0910913775744541,6.13336726660016e-10
"52","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1887320",0.561164256846599,0.0910536526058408,7.13765565659572e-10
"53","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs1925148",0.563344707365212,0.0909026797494436,5.74659264150608e-10
"54","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2004283",0.567755498107579,0.0909300404369849,4.26870423303268e-10
"55","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2004776",0.561588876388323,0.0910073346202331,6.79414709973022e-10
"56","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2017199",0.569076167165867,0.0908833613895166,3.81022825889459e-10
"57","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2052691",0.575047147519791,0.0905242108575105,2.11963712212348e-10
"58","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2076328",0.566133262235288,0.0909522397466568,4.83058716146697e-10
"59","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2102397",0.572114020019407,0.0908502211534645,3.02811937258578e-10
"60","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs210630",0.565800109012587,0.0910316262409764,5.1186406597472e-10
"61","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2177843",0.570504699605596,0.091005542255512,3.63606105855949e-10
"62","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2240980",0.565789588282462,0.0909808648655552,5.01049062250752e-10
"63","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2249105",0.57118181800057,0.0909627808899541,3.40119347773496e-10
"64","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2288276",0.567866981014406,0.0910466293437676,4.45755520794875e-10
"65","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2301597",0.572872178352777,0.0911785197506389,3.32158754225833e-10
"66","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2303083",0.565660527760096,0.0911142020205714,5.35749414189212e-10
"67","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2306526",0.56631849449854,0.0910355514144297,4.94469257725875e-10
"68","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs231708",0.567644731794658,0.0909671024168317,4.37263095495276e-10
"69","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2379829",0.564346508386142,0.0909976425781453,5.58314046910927e-10
"70","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2423514",0.563272908759791,0.0910225952379993,6.08259016339457e-10
"71","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2447607",0.562072059604262,0.0909861730419823,6.51020293326292e-10
"72","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2469997",0.569118392466112,0.0909377256113559,3.89119116040141e-10
"73","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2472299",0.563063436934728,0.0911758659567229,6.59229261201123e-10
"74","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2493296",0.557289496375975,0.0904774571829945,7.30075874770068e-10
"75","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2627316",0.568501891196219,0.09109802458939,4.36031501464251e-10
"76","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs262986",0.568101496188238,0.0909489494061884,4.2008045571401e-10
"77","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2643826",0.569228065839967,0.0909739443043902,3.92340164917802e-10
"78","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs268263",0.554259976248923,0.0911026624413544,1.17289854968385e-09
"79","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2721800",0.568573910443448,0.0909144221874879,4.00208778973479e-10
"80","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2782980",0.565107140228402,0.0910979652795991,5.52946429221256e-10
"81","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2892796",0.567177085631894,0.091013409726757,4.61115026909756e-10
"82","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2971608",0.584130749412984,0.0893576393518213,6.27657014694545e-11
"83","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs2977334",0.563954605895761,0.0910302441403037,5.81946765817578e-10
"84","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3184504",0.54722307578057,0.0894901866435807,9.66206892346319e-10
"85","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3211995",0.567241802769435,0.0909582849093764,4.48083963572378e-10
"86","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs34727427",0.569377335964379,0.0908481704379744,3.67242668292106e-10
"87","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs34896506",0.566781454431673,0.0910998930271427,4.9230460564794e-10
"88","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs35224044",0.568128722219215,0.0909604268353894,4.21396580490685e-10
"89","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs35443",0.570775231664877,0.0910050204251475,3.56647387074826e-10
"90","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs35593046",0.566827712158658,0.0909924172286365,4.68239747526572e-10
"91","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs365990",0.56356470863978,0.0909673271626545,5.8195128274398e-10
"92","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3781885",0.56500060322157,0.0909483228926227,5.22060771472003e-10
"93","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3790604",0.568122192865558,0.0912224876020832,4.72805934499164e-10
"94","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3796205",0.564222307842681,0.0910436865446325,5.74508990740615e-10
"95","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3817581",0.561804403688565,0.0910395666489991,6.7863015621374e-10
"96","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs3826537",0.569488822943224,0.0908786564403718,3.69312793411692e-10
"97","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4480845",0.577481056991811,0.0905767570765639,1.82249540744074e-10
"98","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4639796",0.5732033932817,0.0906953139285602,2.61395218902254e-10
"99","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4736135",0.566878126906592,0.0910088439322223,4.69947530480444e-10
"100","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4759062",0.563493636052676,0.0909262124439727,5.74535198466385e-10
"101","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4767332",0.56534886362963,0.0910141516500558,5.24281428336189e-10
"102","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4835266",0.558911550426948,0.090520242111381,6.63995660491504e-10
"103","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4843748",0.565228979253298,0.0910070396305119,5.27064733271596e-10
"104","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs488834",0.566368202788006,0.0909692684979264,4.78710969916397e-10
"105","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4930676",0.562628105229619,0.0909827367348639,6.25371678548284e-10
"106","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4932373",0.548639748655154,0.0905169086454496,1.3512212165833e-09
"107","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs4937515",0.567710868297969,0.0911174804231507,4.64837878484091e-10
"108","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs55857306",0.567099799629549,0.0918026706769801,6.5174895687994e-10
"109","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs55925664",0.560675672810305,0.0910456018126989,7.35833007559301e-10
"110","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs56092448",0.566503379000871,0.0909525470854258,4.70742390721105e-10
"111","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs57301765",0.545822188271134,0.0895415503989281,1.08930990603408e-09
"112","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs57946343",0.566977935016373,0.0911269375298344,4.91333579719959e-10
"113","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6026742",0.55674281470688,0.090827146540139,8.80470371717455e-10
"114","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6031400",0.565587087056393,0.0909812969021442,5.08300367478791e-10
"115","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs604723",0.557699916189967,0.0916499201238074,1.16410797919656e-09
"116","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs60691990",0.568543093516761,0.0910633574980795,4.28216408502744e-10
"117","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs62368019",0.56798394275119,0.0909706853859076,4.27631602929855e-10
"118","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs62434129",0.559016888682069,0.090801161480272,7.43725629140167e-10
"119","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs62481856",0.571490208455526,0.0921117193726836,5.493532664905e-10
"120","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6271",0.56309628976983,0.0907396712677176,5.44802635926474e-10
"121","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6461992",0.572855749776304,0.0909683917051385,3.02864095086348e-10
"122","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6504213",0.557340752394609,0.0903532669019153,6.89571324605198e-10
"123","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6544667",0.572299799370669,0.09062999428831,2.70713584819748e-10
"124","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6690557",0.565446253045874,0.0909840233589599,5.13945781533193e-10
"125","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6732308",0.566932460546073,0.0910009155672523,4.66541303745571e-10
"126","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6733889",0.566459441682902,0.0910002698928074,4.82138192731315e-10
"127","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6734118",0.567332035378924,0.0910729545830786,4.68153641170157e-10
"128","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6768542",0.568815058437043,0.0909797094582759,4.04946651467713e-10
"129","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6911827",0.567206754462167,0.0909961684654293,4.56699516535239e-10
"130","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs691830",0.56568625007894,0.0910761822804993,5.26040404586006e-10
"131","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs6983129",0.573122045140739,0.0909460337615686,2.94243529181528e-10
"132","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs709668",0.561803123851303,0.0908609975098254,6.28527202850286e-10
"133","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs7123754",0.564084230536686,0.0910602467144837,5.84233495339816e-10
"134","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs71654213",0.575139208942027,0.0904145785464477,2.00270217706689e-10
"135","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs7200432",0.566267452031715,0.0910982537062318,5.09962826205922e-10
"136","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs73046792",0.565853252213704,0.0909843729106852,4.99582648305973e-10
"137","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs73098804",0.56569951762522,0.0910078222409487,5.10170295324892e-10
"138","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs73437338",0.611183719736302,0.0878670472557352,3.50620339079765e-12
"139","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs73563812",0.563406466410069,0.091089616618352,6.20282305278219e-10
"140","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs743395",0.565619577526646,0.0909737635381394,5.0548485534974e-10
"141","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs7439366",0.568708983254652,0.0909375697424341,4.00482098095749e-10
"142","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs75391241",0.566374758285468,0.0909810718200257,4.80962663485016e-10
"143","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs75989961",0.564576273882578,0.090866737876306,5.19051779690463e-10
"144","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs7765526",0.568666136751594,0.0909304488951426,4.00434525352717e-10
"145","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs77870048",0.568112005912801,0.091049605185694,4.38725441476984e-10
"146","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs7798991",0.563947974523074,0.0909584100971426,5.64401631386734e-10
"147","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs78473917",0.558159639888912,0.0903441641228193,6.48577972476507e-10
"148","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs786910",0.567108686419667,0.0910433706522834,4.69437236387411e-10
"149","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs78744936",0.572507175776187,0.0905522588516915,2.57539519864467e-10
"150","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs79349366",0.569384457481593,0.0907769485416461,3.55647466062514e-10
"151","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs79621605",0.565552172387375,0.090948093392334,5.02230574424695e-10
"152","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs8121509",0.562485452888105,0.09086848252838,6.01241308147189e-10
"153","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs891511",0.563085259779093,0.0909585070874921,5.99459737398165e-10
"154","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs9294987",0.574349965438273,0.0902952597568133,2.00707417568212e-10
"155","Systolic blood pressure  automated reading || id:UKB-a:360","Coronary heart disease || id:7","UKB-a:360","7",184305,"rs9349379",0.605183122937371,0.0756860853139598,1.28565194406188e-15
